Abu Dhabi Commercial Bank (ADCB)
Account Holder: Karim Mansour
Card Number: 4521-XXXX-XXXX-8829
Statement Period: 01 Sep 2025 to 31 May 2026
Currency: AED
Opening Balance: 0.00

Transaction Date,Value Date,Description,Reference No,Debit (AED),Credit (AED),Balance (AED)
03/09/2025,03/09/2025,CAREEM NOW DUBAI,TXN68664589,156.72,,156.72
03/09/2025,03/09/2025,RTA SALIK TOLL,TXN36117720,4.00,,160.72
03/09/2025,03/09/2025,NETFLIX.COM PREMIUM,TXN96607178,56.00,,216.72
04/09/2025,04/09/2025,ASTER PHARMACY JVC,TXN73164239,57.16,,273.88
04/09/2025,04/09/2025,AMAZON PRIME UAE,TXN80594725,16.00,,289.88
05/09/2025,05/09/2025,PIZZA HUT DELIVERY,TXN28819154,306.32,,596.20
06/09/2025,06/09/2025,DELIVEROO UAE,TXN72783925,113.82,,710.02
06/09/2025,06/09/2025,RTA SALIK TOLL,TXN63139073,4.00,,714.02
06/09/2025,06/09/2025,UBER B.V. DUBAI,TXN14408661,46.81,,760.83
06/09/2025,06/09/2025,NOON.COM VIP MEMBERSHIP,TXN96296613,7.50,,768.33
07/09/2025,07/09/2025,RTA SALIK TOLL,TXN78633396,4.00,,772.33
09/09/2025,09/09/2025,RTA SALIK TOLL,TXN27922747,4.00,,776.33
09/09/2025,09/09/2025,VOX CINEMAS MOE,TXN22818727,305.26,,1081.59
09/09/2025,09/09/2025,DISNEY PLUS UAE,TXN88939057,39.99,,1121.58
10/09/2025,10/09/2025,SPOTIFY AB FAMILY PLAN,TXN64064458,29.90,,1151.48
11/09/2025,11/09/2025,LULU HYPERMARKET JVC,TXN94381679,515.74,,1667.22
11/09/2025,11/09/2025,RTA SALIK TOLL,TXN24656114,4.00,,1671.22
11/09/2025,11/09/2025,OSN STREAMING ARABIC,TXN33468329,99.00,,1770.22
12/09/2025,12/09/2025,RTA SALIK TOLL,TXN22591332,4.00,,1774.22
14/09/2025,14/09/2025,CARREFOUR HYPERMARKET MOE,TXN35553527,445.40,,2219.62
15/09/2025,15/09/2025,ZOMATO UAE,TXN80948649,140.47,,2360.09
15/09/2025,15/09/2025,RTA SALIK TOLL,TXN56368156,4.00,,2364.09
16/09/2025,16/09/2025,OPERATION FALAFEL JVC,TXN63893975,165.80,,2529.89
16/09/2025,16/09/2025,RTA SALIK TOLL,TXN18170667,4.00,,2533.89
16/09/2025,16/09/2025,APPLE ICLOUD PLUS FAMILY,TXN71207308,11.49,,2545.38
17/09/2025,17/09/2025,RTA SALIK TOLL,TXN15618315,4.00,,2549.38
18/09/2025,18/09/2025,MERAAS PARKING,TXN12668772,13.04,,2562.42
18/09/2025,18/09/2025,LINKEDIN PREMIUM CAREER,TXN32341241,99.00,,2661.42
19/09/2025,19/09/2025,RTA SALIK TOLL,TXN27194559,4.00,,2665.42
19/09/2025,19/09/2025,RTA SALIK TOLL,TXN38624812,4.00,,2669.42
20/09/2025,20/09/2025,SMILES BY ETISALAT,TXN82973542,94.51,,2763.93
20/09/2025,20/09/2025,FIRSTCRY.AE,TXN64304013,439.05,,3202.98
21/09/2025,21/09/2025,PAYMENT RECEIVED - THANK YOU,TXN87842906,,5771.95,-2568.97
22/09/2025,22/09/2025,RTA SALIK TOLL,TXN62694279,4.00,,-2564.97
23/09/2025,23/09/2025,RTA SALIK TOLL,TXN90720397,4.00,,-2560.97
24/09/2025,24/09/2025,WEST ZONE SUPERMARKET JVC,TXN54881134,463.28,,-2097.69
24/09/2025,24/09/2025,MAX FASHION MIRDIF,TXN37460878,395.09,,-1702.60
25/09/2025,25/09/2025,UNION COOP AL BARSHA,TXN44916676,631.41,,-1071.19
25/09/2025,25/09/2025,RTA SALIK TOLL,TXN39723623,4.00,,-1067.19
25/09/2025,25/09/2025,PARKIN DUBAI,TXN26973902,15.82,,-1051.37
26/09/2025,26/09/2025,RTA SALIK TOLL,TXN75863067,4.00,,-1047.37
26/09/2025,26/09/2025,MERAAS PARKING,TXN49677645,26.95,,-1020.42
27/09/2025,27/09/2025,FIRSTCRY.AE,TXN63073828,299.40,,-721.02
27/09/2025,27/09/2025,VOX CINEMAS MOE,TXN52749169,298.67,,-422.35
28/09/2025,28/09/2025,CAFE NERO MOE,TXN53025755,41.30,,-381.05
28/09/2025,28/09/2025,RTA SALIK TOLL,TXN14564136,4.00,,-377.05
28/09/2025,28/09/2025,RTA SALIK TOLL,TXN18821881,4.00,,-373.05
30/09/2025,30/09/2025,TALABAT.COM DUBAI,TXN37027331,84.40,,-288.65
30/09/2025,30/09/2025,RTA SALIK TOLL,TXN58575520,4.00,,-284.65
01/10/2025,01/10/2025,CAREEM NOW DUBAI,TXN25995890,145.29,,-139.36
02/10/2025,02/10/2025,STARBUCKS JVC,TXN17013449,25.57,,-113.79
02/10/2025,02/10/2025,MERAAS PARKING,TXN17086964,27.48,,-86.31
03/10/2025,03/10/2025,MCDONALDS JVC,TXN68500500,163.10,,76.79
03/10/2025,03/10/2025,RTA SALIK TOLL,TXN35995391,4.00,,80.79
04/10/2025,04/10/2025,AMAZON PRIME UAE,TXN75030619,16.00,,96.79
05/10/2025,05/10/2025,RTA SALIK TOLL,TXN19535294,4.00,,100.79
05/10/2025,05/10/2025,CENTREPOINT JVC,TXN73691735,413.30,,514.09
05/10/2025,05/10/2025,NETFLIX.COM PREMIUM,TXN19744349,56.00,,570.09
06/10/2025,06/10/2025,CHOITHRAMS JVC,TXN96527602,387.56,,957.65
06/10/2025,06/10/2025,UBER B.V. DUBAI,TXN26633697,63.52,,1021.17
06/10/2025,06/10/2025,NOON.COM VIP MEMBERSHIP,TXN32689444,7.50,,1028.67
07/10/2025,07/10/2025,RTA SALIK TOLL,TXN46248600,4.00,,1032.67
07/10/2025,07/10/2025,RTA SALIK TOLL,TXN40390957,4.00,,1036.67
07/10/2025,07/10/2025,UBER B.V. DUBAI,TXN41602175,23.58,,1060.25
08/10/2025,08/10/2025,KFC MOE,TXN94541594,154.08,,1214.33
08/10/2025,08/10/2025,PARKIN DUBAI,TXN59111668,19.28,,1233.61
08/10/2025,08/10/2025,SPOTIFY AB FAMILY PLAN,TXN19758575,29.90,,1263.51
09/10/2025,09/10/2025,RTA SALIK TOLL,TXN66068082,4.00,,1267.51
11/10/2025,11/10/2025,RTA SALIK TOLL,TXN55469660,4.00,,1271.51
11/10/2025,11/10/2025,RTA SALIK TOLL,TXN84342000,4.00,,1275.51
11/10/2025,11/10/2025,CENTREPOINT JVC,TXN59279643,178.02,,1453.53
11/10/2025,11/10/2025,OSN STREAMING ARABIC,TXN14745043,99.00,,1552.53
12/10/2025,12/10/2025,PARKIN DUBAI,TXN89794472,18.67,,1571.20
12/10/2025,12/10/2025,DISNEY PLUS UAE,TXN84649251,39.99,,1611.19
13/10/2025,13/10/2025,RTA SALIK TOLL,TXN97965775,4.00,,1615.19
14/10/2025,14/10/2025,RTA SALIK TOLL,TXN64547972,4.00,,1619.19
14/10/2025,14/10/2025,RTA SALIK TOLL,TXN83197813,4.00,,1623.19
15/10/2025,15/10/2025,CAFE NERO MOE,TXN12138526,39.00,,1662.19
15/10/2025,15/10/2025,APPLE ICLOUD PLUS FAMILY,TXN24139927,11.49,,1673.68
16/10/2025,16/10/2025,DELIVEROO UAE,TXN53591243,124.12,,1797.80
16/10/2025,16/10/2025,RTA SALIK TOLL,TXN44052253,4.00,,1801.80
16/10/2025,16/10/2025,CARREFOUR ONLINE,TXN39222193,215.96,,2017.76
