Abu Dhabi Commercial Bank (ADCB),,,,,,
Account Holder: Karim Mansour,,,,,,
Account Number: 1374829560011,,,,,,
Statement Period: 01 Sep 2025 to 31 May 2026,,,,,,
Currency: AED,,,,,,
Opening Balance: 32000.00,,,,,,
,,,,,,
Transaction Date,Value Date,Description,Reference No,Debit (AED),Credit (AED),Balance (AED)
03/09/2025,03/09/2025,STEPPING STONES NURSERY JVC,TXN13107436,2500,,29500
05/09/2025,05/09/2025,RENT CHEQUE LANDLORD JVC PROPERTY LLC,TXN99280892,22500,,7000
06/09/2025,06/09/2025,ADCB CAR FINANCE INSTALLMENT,TXN64037474,1800,,5200
08/09/2025,08/09/2025,ATM CASH WITHDRAWAL JVC,TXN73189995,200.11,,4999.89
09/09/2025,09/09/2025,DEWA UTILITY BILL,TXN55742730,625.16,,4374.73
14/09/2025,14/09/2025,ETISALAT POSTPAID HOME PLUS,TXN52148125,443.54,,3931.19
14/09/2025,14/09/2025,DU TELECOM POSTPAID,TXN44867731,201.27,,3729.92
22/09/2025,22/09/2025,ADCB CREDIT CARD AUTOPAY,TXN83134170,6962.36,,-3232.44
23/09/2025,23/09/2025,ATM CASH WITHDRAWAL MOE,TXN52154188,534.24,,-3766.68
27/09/2025,27/09/2025,SALARY CREDIT MIDDLE EAST FOODS LLC,TXN17587296,,36000,18233.32
27/09/2025,27/09/2025,AL ANSARI EXCHANGE REMITTANCE EGYPT,TXN66783864,1067.9,,17165.42
05/10/2025,05/10/2025,STEPPING STONES NURSERY JVC,TXN63051842,2500,,14665.42
06/10/2025,06/10/2025,ADCB CAR FINANCE INSTALLMENT,TXN40844858,1800,,12865.42
09/10/2025,09/10/2025,DEWA UTILITY BILL,TXN54261798,789.85,,12075.57
13/10/2025,13/10/2025,ATM CASH WITHDRAWAL DUBAI MARINA,TXN22938245,323.92,,11751.65
15/10/2025,15/10/2025,ETISALAT POSTPAID HOME PLUS,TXN62971292,432.63,,11319.02
15/10/2025,15/10/2025,DU TELECOM POSTPAID,TXN76886309,208.54,,11110.48
22/10/2025,22/10/2025,DAMAN HEALTH INSURANCE FAMILY TOP UP,TXN65687521,3200,,7910.48
22/10/2025,22/10/2025,ADCB CREDIT CARD AUTOPAY,TXN79552744,6527.04,,1383.44
26/10/2025,26/10/2025,AL ANSARI EXCHANGE REMITTANCE EGYPT,TXN29672485,1019.26,,364.18
28/10/2025,28/10/2025,SALARY CREDIT MIDDLE EAST FOODS LLC,TXN52488727,,36000,22364.18
03/11/2025,03/11/2025,STEPPING STONES NURSERY JVC,TXN88084305,2500,,19864.18
05/11/2025,05/11/2025,ADCB CAR FINANCE INSTALLMENT,TXN72255145,1800,,18064.18
12/11/2025,12/11/2025,DEWA UTILITY BILL,TXN36299847,684.89,,17379.29
16/11/2025,16/11/2025,ETISALAT POSTPAID HOME PLUS,TXN44198838,451.18,,16928.11
16/11/2025,16/11/2025,CHOITHRAMS JVC,TXN83661745,335.59,,16592.52
18/11/2025,18/11/2025,DU TELECOM POSTPAID,TXN22227455,210.6,,16381.92
18/11/2025,18/11/2025,ORIENT INSURANCE CAR COMPREHENSIVE,TXN28540229,1850,,14531.92
21/11/2025,21/11/2025,LULU HYPERMARKET JVC,TXN45732817,330.19,,14201.73
